host_location,host_response_time,host_is_superhost,host_neighbourhood,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,accommodates,bedrooms,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_count
"Bangkok, Thailand",within an hour,f,Din Daeng/Huai Khwang,153.0,t,Khlong Toei,Entire condo,2,1.0,"[""Bathtub"", ""Dining table"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Shared backyard"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Shared pool"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Lockbox"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Microwave"", ""Dishes and silverware"", ""Hot tub"", ""Induction stove"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Hot water kettle"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1819.0,27,4.56,4.7,4.81,4.93,4.96,4.85,4.56,0.88,39
unknown,a few days or more,f,Moo 6,74.0,t,Din Daeng,Room in hotel,2,1.0,"[""TV"", ""Hot water"", ""Refrigerator"", ""Wifi"", ""Washer"", ""Air conditioning""]",750.0,4,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.14,6
unknown,a few days or more,f,Moo 6,74.0,t,Din Daeng,Room in hotel,2,1.0,"[""Luggage dropoff allowed"", ""TV"", ""Hot water"", ""Refrigerator"", ""Wifi"", ""Elevator"", ""Washer"", ""Exercise equipment"", ""Air conditioning""]",820.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
unknown,a few days or more,f,Moo 6,74.0,t,Din Daeng,Room in hotel,2,1.0,"[""Luggage dropoff allowed"", ""TV"", ""Wifi"", ""Elevator"", ""Washer"", ""Exercise equipment"", ""Air conditioning""]",1000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7
"Bangkok, Thailand",within an hour,f,other,65.0,t,Suanluang,Room in hotel,2,1.0,"[""Elevator"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Private entrance"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Backyard"", ""Exterior security cameras on property"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Crib"", ""Building staff"", ""Pool"", ""Essentials"", ""Self check-in"", ""First aid kit""]",1966.0,3,5.0,5.0,5.0,5.0,5.0,4.33,4.67,0.11,22
"Bangkok, Thailand",within an hour,f,other,65.0,t,Huai Khwang,Room in boutique hotel,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Washer"", ""Patio or balcony"", ""Outdoor furniture"", ""Laundromat nearby"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Private entrance"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Long term stays allowed"", ""TV"", ""Hangers"", ""Crib"", ""Clothing storage"", ""Building staff"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Kitchen""]",988.0,16,4.75,4.88,4.63,4.75,4.56,4.19,4.5,0.52,33
unknown,within an hour,t,other,1.0,t,Bang Sue,Entire condo,2,1.0,"[""Dining table"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Host greets you"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Paid parking lot off premises"", ""Bed linens"", ""Shared hot tub - available all year, open specific hours"", ""Central air conditioning"", ""Shared pool - available all year, open specific hours"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Conditioner"", ""Dedicated workspace"", ""Hair dryer"", ""Shared sauna"", ""Shampoo"", ""Exercise equipment"", ""Free washer \u2013 In unit"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Paid parking on premises"", ""Long term stays allowed"", ""Clothing storage: closet"", ""55 inch HDTV with premium cable"", ""Freezer"", ""Hangers"", ""Shared gym in building"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Kitchen""]",733.0,50,4.78,4.92,4.54,4.88,4.96,4.44,4.74,1.64,45
"Bangkok, Thailand",within an hour,t,other,1.0,t,Khlong Toei,Entire condo,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Baking sheet"", ""Elevator"", ""Smart lock"", ""Laundromat nearby"", ""EV charger"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Bed linens"", ""Hot water"", ""Conditioner"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Clothing storage: wardrobe"", ""Free washer \u2013 In unit"", ""Microwave"", ""Dishes and silverware"", ""40 inch TV with premium cable"", ""Essentials"", ""Wifi \u2013 20 Mbps"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Shared gym in building"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Shared outdoor pool - available all year, open specific hours, saltwater"", ""Books and reading material"", ""Cooking basics"", ""AC - split type ductless system"", ""Self check-in"", ""Kitchen""]",651.0,12,5.0,5.0,5.0,4.92,5.0,4.67,4.83,0.41,45
unknown,within an hour,f,other,61.0,t,Sathon,Entire condo,4,2.0,"[""Bathtub"", ""Dining table"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Private entrance"", ""Air conditioning"", ""Shared pool"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Essentials"", ""Kitchen""]",1235.0,8,4.38,4.88,4.5,4.25,4.88,4.13,4.88,0.27,25
unknown,within an hour,f,other,61.0,t,Sathon,Entire condo,2,1.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Smoke alarm"", ""Shared pool"", ""Room-darkening shades"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Essentials"", ""AC - split type ductless system"", ""Kitchen""]",680.0,288,4.49,4.57,4.47,4.57,4.67,4.2,4.47,9.53,21
"Bangkok, Thailand",within an hour,f,Lower Sukhumvit,131.0,t,Vadhana,Entire condo,2,1.0,"[""Dining table"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Crib - available upon request"", ""Elevator"", ""Washer"", ""Shared backyard"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Housekeeping available every day - available at extra cost"", ""Bread maker"", ""Self check-in"", ""Paid parking garage on premises \u2013 1 space"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""TV"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Building staff"", ""Safe"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""First aid kit"", ""Kitchen""]",1586.0,54,4.78,4.94,4.83,4.94,4.89,4.92,4.74,1.76,44
"Bangkok, Thailand",within an hour,t,other,2.0,t,Huai Khwang,Entire rental unit,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Laundromat nearby"", ""Fire extinguisher"", ""Smoke alarm"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Dishes and silverware"", ""Long term stays allowed"", ""32 inch HDTV with standard cable"", ""Hangers"", ""Hot water kettle"", ""Safe"", ""Essentials"", ""Self check-in"", ""AC - split type ductless system""]",690.0,71,4.76,4.86,4.66,4.72,4.89,4.63,4.76,2.41,23
"Bangkok, Thailand",within an hour,f,other,3.0,t,Phasi Charoen,Entire condo,5,2.0,"[""Dining table"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Fire extinguisher"", ""Smoke alarm"", ""Cleaning products"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Paid parking lot on premises"", ""Shared sauna"", ""Shampoo"", ""Clothing storage: walk-in closet"", ""Exercise equipment"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Long term stays allowed"", ""Freezer"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Noise decibel monitors on property"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Shared outdoor pool - open specific hours, rooftop"", ""Kitchen""]",2353.0,13,4.62,4.62,4.69,4.92,4.92,4.77,4.38,0.47,36
"Bangkok, Thailand",within an hour,f,other,11.0,t,Din Daeng,Private room in home,3,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Heating"", ""Air conditioning"", ""Room-darkening shades"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Dedicated workspace"", ""Breakfast"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Outdoor dining area"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Lock on bedroom door"", ""Essentials"", ""Kitchen""]",2986.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,25
"Bangkok, Thailand",within an hour,t,other,1.0,t,Sathon,Entire condo,4,2.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Electrolux refrigerator"", ""EV charger"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Conditioner"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Stainless steel oven"", ""Free washer \u2013 In unit"", ""Clothing storage: closet, wardrobe, and dresser"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""45 inch HDTV"", ""Coffee maker: drip coffee maker"", ""Long term stays allowed"", ""Free parking on premises"", ""Freezer"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Stainless steel stove"", ""Hot water kettle"", ""Shared outdoor pool - available all year"", ""Books and reading material"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Self check-in"", ""AC - split type ductless system"", ""Kitchen""]",2650.0,83,4.94,4.95,4.94,4.9,4.94,4.92,4.89,2.75,48
"Bangkok, Thailand",within an hour,f,other,69.0,t,Ratchathewi,Entire condo,4,2.0,"[""Dining table"", ""Refrigerator"", ""Elevator"", ""Smoke alarm"", ""Private patio or balcony"", ""Private entrance"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Microwave"", ""Dishes and silverware"", ""Essentials"", ""Carbon monoxide alarm"", ""TV"", ""Hot water kettle"", ""AC - split type ductless system""]",1300.0,67,4.39,4.43,4.55,4.54,4.66,4.64,4.43,2.65,20
"Bangkok, Thailand",within an hour,f,other,69.0,t,Ratchathewi,Entire condo,4,2.0,"[""Dining table"", ""Refrigerator"", ""Elevator"", ""Smoke alarm"", ""Private entrance"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Essentials"", ""Carbon monoxide alarm"", ""TV"", ""Hot water kettle"", ""AC - split type ductless system""]",1300.0,24,4.42,4.13,4.25,4.46,4.54,4.42,4.29,0.81,21
"Bangkok, Thailand",within an hour,f,other,69.0,t,Sathon,Entire rental unit,2,1.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Shared pool"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Garden view"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Dryer"", ""Pool view"", ""Carbon monoxide alarm"", ""TV"", ""Hot water kettle"", ""Clothing storage"", ""Essentials"", ""AC - split type ductless system"", ""Kitchen""]",680.0,17,4.59,4.71,4.24,4.82,4.88,4.12,4.59,0.59,26
unknown,within an hour,t,other,9.0,t,Phra Nakhon,Private room in loft,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Sunday Bluetooth sound system"", ""Window AC unit"", ""Refrigerator"", ""Local body soap"", ""Shower gel"", ""Fast wifi \u2013 223 Mbps"", ""Outdoor furniture"", ""Bidet"", ""Paid street parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Private patio or balcony"", ""Cleaning available during stay"", ""Hot water"", ""Lockbox"", ""City skyline view"", ""Paid washer \u2013 In building"", ""Dedicated workspace"", ""Hair dryer"", ""Clothing storage: wardrobe"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Coffee"", ""Outdoor dining area"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Local conditioner"", ""43 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Freezer"", ""Hangers"", ""Local shampoo"", ""Mini fridge"", ""Hot water kettle"", ""Safe"", ""Essentials"", ""Self check-in"", ""Coffee maker""]",2043.0,40,4.93,4.95,4.95,4.9,4.95,4.85,4.85,1.29,46
"Bangkok, Thailand",within a few hours,t,other,5.0,t,Phra Nakhon,Entire townhouse,6,3.0,"[""Refrigerator"", ""Free parking on premises \u2013 1 space"", ""Shower gel"", ""Laundromat nearby"", ""Fire extinguisher"", ""Smoke alarm"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Microwave"", ""Keypad"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Coffee"", ""Essentials"", ""Ceiling fan"", ""TV"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Books and reading material"", ""AC - split type ductless system"", ""Self check-in"", ""Coffee maker"", ""First aid kit"", ""Kitchen""]",4800.0,150,4.95,4.95,4.99,4.98,4.99,4.93,4.93,4.87,32
"Bangkok, Thailand",within an hour,f,Upper Sukhumvit,65.0,t,Vadhana,Entire loft,8,3.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Free parking on premises \u2013 1 space"", ""Shower gel"", ""Body soap"", ""Smart lock"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Private patio or balcony"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Oven"", ""Dishes and silverware"", ""45 inch HDTV with Amazon Prime Video"", ""Outdoor dining area"", ""Self check-in"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""Hangers"", ""Blender"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Cooking basics"", ""Wine glasses"", ""AC - split type ductless system"", ""Rice maker"", ""Kitchen""]",2610.0,131,4.54,4.56,4.44,4.71,4.84,4.15,4.53,4.45,44
"Bangkok, Thailand",within an hour,t,Din Daeng/Huai Khwang,51.0,t,Parthum Wan,Entire condo,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Washer"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""BBQ grill"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Sauna"", ""Exercise equipment"", ""Microwave"", ""Oven"", ""Backyard"", ""Dishes and silverware"", ""Waterfront"", ""Dryer"", ""Board games"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Bikes"", ""TV"", ""Hangers"", ""Mini fridge"", ""Clothing storage"", ""Books and reading material"", ""Cooking basics"", ""Pool"", ""Wine glasses"", ""Essentials"", ""Kitchen""]",1350.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42
"Bangkok, Thailand",within an hour,f,other,39.0,t,Khlong Toei,Entire serviced apartment,2,1.0,"[""Luggage dropoff allowed"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Shared backyard \u2013 Fully fenced"", ""Shared outdoor pool - available all year, open specific hours"", ""Pets allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Bed linens"", ""Cleaning available during stay"", ""Central air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Single level home"", ""Exercise equipment: free weights, treadmill, yoga mat"", ""Outdoor dining area"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""42 inch TV"", ""Hangers"", ""Mini fridge"", ""Shared gym in building"", ""Crib"", ""Ethernet connection"", ""Building staff"", ""Safe"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""First aid kit""]",3570.0,7,4.86,4.86,4.71,5.0,4.29,4.71,4.71,0.24,42
"Bangkok, Thailand",N/A,f,other,9.0,f,Pra Wet,Room in hotel,2,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Fire extinguisher"", ""Smoke alarm"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Building staff"", ""Safe"", ""Pool"", ""Essentials"", ""Self check-in""]",2843.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21
"Bangkok, Thailand",N/A,f,other,9.0,f,Pra Wet,Room in hotel,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Shower gel"", ""Elevator"", ""Fire extinguisher"", ""Smoke alarm"", ""Private patio or balcony"", ""Cleaning products"", ""Air conditioning"", ""Shared pool"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Building staff"", ""Safe"", ""Essentials"", ""Self check-in""]",2821.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04,28
unknown,N/A,f,other,1.0,t,Bang Rak,Room in hotel,2,1.0,"[""Shower gel"", ""Body soap"", ""Heating"", ""Elevator"", ""Bidet"", ""Smoke alarm"", ""Fire extinguisher"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dryer"", ""Board games"", ""TV"", ""Hangers"", ""Mini fridge"", ""Ethernet connection"", ""Building staff"", ""Self check-in""]",4633.0,7,4.71,4.86,4.86,4.86,4.71,4.86,4.71,0.24,27
"Bangkok, Thailand",within a day,f,other,5.0,t,Chom Thong,Private room in condo,2,1.0,"[""Sharp refrigerator"", ""Dining table"", ""Luggage dropoff allowed"", ""Electric stove"", ""Elevator"", ""Host greets you"", ""Bidet"", ""Laundromat nearby"", ""Shared outdoor pool - available all year, open specific hours"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking lot off premises"", ""Cleaning available during stay"", ""Hot water"", ""Dedicated workspace"", ""Hair dryer"", ""Exercise equipment"", ""Clothing storage: wardrobe"", ""Microwave"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Waterfront"", ""Coffee maker: drip coffee maker"", ""Paid parking garage on premises \u2013 1 space"", ""Essentials"", ""Boat slip"", ""Long term stays allowed"", ""Hangers"", ""Mini fridge"", ""Shared gym in building"", ""Lock on bedroom door"", ""Cooking basics"", ""AC - split type ductless system""]",700.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.61,37
unknown,within an hour,t,other,1.0,t,Bang Na,Entire guesthouse,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Electric stove"", ""Refrigerator"", ""Free parking on premises \u2013 1 space"", ""Shower gel"", ""Body soap"", ""Mosquito net"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private patio or balcony"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Dedicated workspace"", ""Breakfast"", ""Hair dryer"", ""Shampoo"", ""Shared backyard \u2013 Not fully fenced"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Coffee"", ""Single level home"", ""Board games"", ""Coffee maker: drip coffee maker"", ""Outlet covers"", ""Hammock"", ""Outdoor dining area"", ""Long term stays allowed"", ""Bikes"", ""TV"", ""Hangers"", ""Blender"", ""Hot water kettle"", ""Exercise equipment: treadmill, yoga mat"", ""Smoking allowed"", ""Cooking basics"", ""Essentials"", ""Rice maker"", ""First aid kit"", ""Kitchen""]",1100.0,32,4.94,4.97,5.0,4.97,5.0,4.78,4.94,1.05,50
unknown,within an hour,f,other,3.0,t,Ratchathewi,Entire rental unit,6,3.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Bidet"", ""Shared outdoor pool - available all year, open specific hours"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Cleaning products"", ""Private entrance"", ""Room-darkening shades"", ""Bed linens"", ""Private patio or balcony"", ""Sun loungers"", ""Hot water"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Wifi"", ""Housekeeping available from 9:00\u202fAM to 5:00\u202fPM, Monday to Saturday - available at extra cost"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Shared backyard \u2013 Not fully fenced"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Single level home"", ""Outdoor dining area"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Courtyard view"", ""Free parking on premises"", ""Freezer"", ""32 inch HDTV"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Building staff"", ""Essentials"", ""Self check-in"", ""Kitchen""]",2392.0,82,4.63,4.77,4.68,4.87,4.85,4.8,4.66,2.75,49
"Bangkok, Thailand",within an hour,f,other,8.0,t,Khlong Toei,Entire condo,2,1.0,"[""Dining table"", ""Xiaomi Soundbar sound system with Bluetooth and aux"", ""Shower gel"", ""Elevator"", ""Shared outdoor pool - available all year, open specific hours, lap pool, rooftop"", ""Laundromat nearby"", ""Smoke alarm"", ""Clothing storage: closet and wardrobe"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private patio or balcony"", ""Sun loungers"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Dedicated workspace"", ""Hair dryer"", ""Shared sauna"", ""Exercise equipment"", ""Free washer \u2013 In unit"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Fast wifi \u2013 385 Mbps"", ""Dishes and silverware"", ""Coffee"", ""Single level home"", ""Keypad"", ""Coffee maker: drip coffee maker"", ""Estee Lauder conditioner"", ""Self check-in"", ""Long term stays allowed"", ""Estee Lauder shampoo"", ""Freezer"", ""Hangers"", ""42 inch HDTV with Netflix, standard cable"", ""Paid parking garage on premises \u2013 100 spaces"", ""Shared gym in building"", ""LG refrigerator"", ""Ethernet connection"", ""Hot water kettle"", ""Smeg stainless steel electric stove"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""AC - split type ductless system"", ""First aid kit"", ""Kitchen""]",1223.0,75,4.77,4.85,4.72,4.85,4.91,4.6,4.69,2.46,56
unknown,within an hour,f,other,2.0,t,Khlong Toei,Entire condo,2,1.0,"[""Bathtub"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Bidet"", ""Smoke alarm"", ""BBQ grill"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Shared pool"", ""Cleaning available during stay"", ""Central air conditioning"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Exercise equipment"", ""Clothing storage: closet, wardrobe, and dresser"", ""Microwave"", ""Keypad"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Induction stove"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Freezer"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1669.0,30,4.63,4.7,4.73,4.6,4.63,4.97,4.7,1.03,40
"Bangkok, Thailand",within an hour,f,other,25.0,t,Huai Khwang,Private room in condo,1,1.0,"[""Parrot body soap"", ""Elevator"", ""Other electric stove"", ""Paid dryer \u2013 In building"", ""Laundromat nearby"", ""Toshiba  refrigerator"", ""Smoke alarm"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Room-darkening shades"", ""Bed linens"", ""Shared hot tub - available all year, open specific hours"", ""Sun loungers"", ""Hot water"", ""43 inch HDTV with Netflix, Amazon Prime Video, Apple TV, Chromecast"", ""Wifi"", ""Lockbox"", ""Hair dryer"", ""Shared sauna"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Microwave"", ""Kitchenette"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Pantene conditioner"", ""Long term stays allowed"", ""Hangers"", ""Shared gym in building"", ""Pantene shampoo"", ""Hot water kettle"", ""Housekeeping available 5 hours a day, every day - available at extra cost"", ""Cooking basics"", ""AC - split type ductless system"", ""Self check-in"", ""Shared outdoor pool - available all year, open specific hours, infinity, lap pool, saltwater""]",1443.0,31,4.74,4.77,4.61,4.84,4.77,4.9,4.74,1.02,45
